Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.3349,3.8994,0.0000,top
"C2","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.3338,5.3715,0.0000,top
"C3","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.1486,0.4133,90.0000,top
"C4","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.6426,0.4133,90.0000,top
"C18","10uF_1206_35V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.6602,-4.2270,180.0000,top
"C19","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",101.0481,6.7368,180.0000,top
"C20","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",101.0470,8.2608,180.0000,top
"C21","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.2934,0.1055,0.0000,top
"C22","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.2934,-1.4185,0.0000,top
"C23","10uF_1206_35V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.4950,8.7688,90.0000,top
"C24","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.5723,21.5566,90.0000,top
"C25","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.7876,18.4992,-90.0000,top
"C26","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.0963,21.5577,90.0000,top
"C27","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.2636,18.4981,-90.0000,top
"C28","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",98.4076,14.6616,0.0000,top
"C29","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",98.4087,13.1884,0.0000,top
"C30","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",105.4082,16.4269,-90.0000,top
"C31","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.8842,16.4269,-90.0000,top
"C32","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",81.3653,6.4066,180.0000,top
"C33","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",81.3399,4.9334,180.0000,top
"C34","0.1μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.4447,-1.9429,0.0000,top
"C35","10μF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.4533,-3.4303,0.0000,top
"J1","DE9_Pins_MountingHoles","DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm",110.5979,4.0416,90.0000,top
"J2","Conn_01x08_Socket","PinHeader_1x08_P2.54mm_Vertical",58.2248,-3.9820,90.0000,top
"J3","HPF-02-01-X-S","Samtec_HPM-02-05-x-S_Straight_1x02_Pitch5.08mm",81.1864,10.4960,180.0000,top
"J4","Conn_01x04_Socket","Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical",89.8732,-1.1788,90.0000,top
"J6","Conn_01x04_Socket","Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical",102.3792,-4.8456,0.0000,top
"J8","Conn_01x02_Pin","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",54.3332,20.6560,0.0000,top
"J10","Conn_01x08_Socket","Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical",69.6994,21.6742,0.0000,top
"REF**","Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles","Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles",60.1552,31.5272,90.0000,top
"U1","~","rotopd",68.5048,5.5180,90.0000,top
"U3","TMUX7201RQXR","WSON8_RQX_TEX-L",76.4620,2.0085,180.0000,top
"U7","PINA745AIRELR","REL0014A_PINA745AIRELR_TEX",96.1089,-1.3404,-90.0000,top
"U8","PTMUX6236RUMR","WQFN16_RUM_TEX",102.6091,3.3742,90.0000,top
"U9","PINA745AIRELR","REL0014A_PINA745AIRELR_TEX",89.4004,9.3325,180.0000,top
"U10","PTMUX6236RUMR","WQFN16_RUM_TEX",94.1814,20.0337,0.0000,top
"U11","TMUX7219MDGKR","SOIC8_DGK_TEX",100.0044,17.2299,0.0000,top
"U12","PTMUX6236RUMR","WQFN-16-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",82.8628,1.4536,90.0000,top
