Row,Quantity Per PCB,References,Value,Datasheet,Manufacturer,Manufacturer Part Number
1,10,C1 C3 C19 C21 C24 C25 C28 C30 C33 C34,0.1uF,https://www.mouser.com/datasheet/2/40/X7RDielectric-777033.pdf,AVX Corporation,0603YC104KAT2A
2,12,C2 C4 C18 C20 C22 C23 C26 C27 C29 C31 C32 C35,10uF,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,TDK,C1608X6S1V106K080AC
3,2,ENC1 ENC2,Encoder_Rotary_11mm,https://www.taiwanalpha.com/en/products/67,Alpha Taiwan,RE111F-41B3-20F-20P
4,10,J1 J2 J4 J5 J6 J7 J8 J9 J10 J11,DE9_Pins,https://www.amphenol-cs.com/product-series/d-sub-standard-connectors.html,Amphenol,L717SDE09P1ACH4F
5,1,J3,HPF-02-01,https://suddendocs.samtec.com/catalog_english/hpf.pdf,Samtec,HPF-02-01-T-S
6,1,SW1,SW_DPST,https://www.nkkswitches.com/pdf/G-toggles.pdf,NKK Switches,G12JP
7,1,SW3,SW_Push_LED,https://www.langir.com/wp-content/uploads/2018/10/BH16-Series-Anti-Vandal-Switch.pdf,Langir,BH16N-BSBB
8,1,SW2,SW_Rotary_1x3,https://www.ckswitches.com/media/1318/aseries.pdf,C&K,A20305RNCQ
9,2,U7 U9,PINA745AIRELR,https://www.ti.com/lit/ds/symlink/ina745a.pdf,Texas Instruments,INA745AIRELR
10,3,U8 U10 U12,PTMUX6236RUMR,https://www.ti.com/lit/ds/symlink/tmux6236.pdf,Texas Instruments,TMUX6236RUMR
11,1,U2,SC1176,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf,Raspberry Pi,SC1176
12,1,U3,TMUX7201RQXR,https://www.ti.com/lit/ds/symlink/tmux7201.pdf,Texas Instruments,TMUX7201RQXR
13,1,U11,TMUX7219MDGKR,https://www.ti.com/lit/ds/symlink/tmux7219.pdf,Texas Instruments,TMUX7219MDGKR
14,1,U1,rotopd-pro-usb-pd-240w-avs,https://www.tindie.com/products/centylab/rotopd-pro-usb-pd-240w-avs/,centylab,rotopd-pro-usb-pd-240w-avs
