Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
27,0.20mm (7.87mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
18,0.25mm (9.84mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Via
112,0.30mm (11.81mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Via
4,0.30mm (11.81mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
8,0.50mm (19.69mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
65,1.00mm (39.37mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
4,1.75mm (68.90mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
2,2.70mm (106.30mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
2,3.20mm (125.98mils),PTH,Round,"L1 (Sig, PWR) - L4 (Sig, PWR)",Pad
Total 242,,,,,
