Designator,Mid X,Mid Y,Rotation,Layer
C1,7.47,-14.301,270.0,top
C10,-4.8,-3.8,90.0,top
C2,6.2,-13.793,270.0,top
C3,3.5,-7.57,180.0,top
C4,-0.254,-19.558,0.0,top
C5,-0.254,-21.463,0.0,top
C6,8.763,-17.349,180.0,top
C8,-6.858,-7.443,180.0,top
C9,-6.75,-11.507,180.0,top
D1,-5.8,-2.1,0.0,top
D2,-0.127,-23.241,180.0,top
D3,-2.0,-26.8,180.0,top
D4,-0.127,-2.9,90.0,top
J1,0.039,-0.031,180.0,top
J2,-8.75,-24.7,270.0,top
J3,6.985,-24.004,0.0,top
J4,-10.1,-10.252,0.0,top
L1,1.2,-14.986,180.0,top
Q1,-7.266,-15.047,90.0,top
Q2,-4.614,-15.063,90.0,top
R1,-5.8,-3.8,90.0,top
R10,-6.9,-12.777,180.0,top
R11,-4.233,-12.777,0.0,top
R12,-1.905,-10.922,0.0,top
R13,-7.25,-9.234,0.0,top
R14,-7.25,-10.25,0.0,top
R15,-3.8,-3.8,90.0,top
R18,-0.5,-24.511,180.0,top
R2,-6.8,-3.8,90.0,top
R3,7.47,-9.475,0.0,top
R4,8.105,-10.999,270.0,top
R5,3.048,-2.998,0.0,top
R6,-6.885,-17.333,180.0,top
R7,-4.233,-17.349,0.0,top
R8,1.0,-10.9,0.0,top
R9,2.921,-10.9,0.0,top
TH1,3.81,-4.649,0.0,top
U3,6.2,-11.38,270.0,top
U4,8.636,-1.474,270.0,top
U5,-3.048,-7.697,270.0,top
U6,8.636,-5.9355,90.0,top
